modelo,MAE,RMSE,MAPE
Random Forest,33.10913657770801,54.19149812248976,33.04669368132564
XGBoost,34.17472457586315,55.20673795059945,34.22540674682315
Base promedio móvil 7 días,30.766539582866113,51.950572167658365,34.47294891393276
